News Title,My Ground Truth,ChatGPT,Claude,Gemini
Thousands of OpenClaw AI agent servers exposed to hackers,1,2,2,2
AI agent criticises human developer for rejecting its code,3,7,8,6
Chinese AI video tool accused of abusing US copyrighted works,4,3,3,3
"Anthropic ""destructively"" scans millions of books to train AI models",3,2,3,2
Social work AI transcription tools wrongly indicate suicidal ideation,0,1,1,1
"Dutch probation algorithm found to be inaccurate, discriminatory",1,1,1,1
"Study: ChatGPT ""systematically"" amplifies global inequalities",1,2,2,2
"British Museum AI-generated ""visitors"" spark fury",3,5,5,5
Roblox AI age verification system accused of misidentifying minors as adults,1,1,2,1
Study: AI-powered stethoscope fails two-thirds of the time,1,1,2,1
AI-powered sinus surgery tool accused of repeatedly seriously injuring patients,0,0,0,0
AI article sends tourists to fictional Tasmanian hot springs,3,5,5,5
Amazon AI agent-driven shopping trial sparks backlash,4,4,5,4
Chinese chatbot accused of giving inaccurate university location info,5,5,5,5
"Eightfold AI recruitment start-up accused of ""secret"" job scoring",2,2,2,3
"ChatGPT accused of acting as ""suicide coach"" in death of Colorado man",0,0,0,0
Waymo robotaxi strikes child outside Santa Monica school,0,0,1,1
West Midlands police use fake AI output to ban Israeli fans from attending football match,4,1,1,1
Google AI falsely accuses musician of being a sex offender,0,1,1,1
Pro-Ukrainian hackers use AI-generated decoy documents to infiltrate Russian defence industry,3,3,4,4
ChatGPT accused of illegally excluding Indian online marketplace from search results,2,3,3,3
Grok generates sexualised images of children on X,0,0,0,0
Grok generates sexualised images of mother of one of Elon Musk's children,0,0,0,1
Grok AI digitally removes female journalist Samantha Smith's clothes,0,0,0,1
Zoox robotaxis recalled for veering into oncoming traffic,0,1,2,2
East Sussex man jailed for generating and distributing thousands of indecent images,0,0,0,0
"Australian activist Caitlin Roper targeted with AI-generated violent threats, images",0,0,0,1
US tech worker goes crazy after obsessively generating AI images of herself,3,2,5,5
ChatGPT persuades depressive man to take pseudoephedrine,0,1,1,1
Beijing uses AI to suppress Tibetan refugees in Nepal,0,0,0,0
Deepfake video accuses Indian Prime Minister of corruption,3,2,2,2
AI agent runs WSJ vending machine into the ground,3,7,7,6
Hellobike robotaxi injures Zhuzhou pedestrians,1,0,1,1
Canada Revenue Agency chatbot gives incorrect tax filing guidance,4,3,3,4
Grok spews misinformation about Bondi Beach mass shooting,0,1,2,1
