id,headline,ethicality_0_10,visibility_0_10,accountability_0_10,assessment_basis,rationale
94,Child Selma Hasanovic drowned in a river during forced displacement,0,3,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim.
95,Militia attacks a pregnant woman and her children in Foca,1,6,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
96,Ukrainian babies die from hypothermia (Winter 2022-23),0,4,10,headline_only_unverified,Alleged fatal violence; visibility reduced: emotionally charged child-casualty claim.
97,Demolition order at the historic cemetery of Lviv,3,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
98,Execution of two Ukrainians in Kherson,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
99,Demolition of a Ukrainian-owned factory in Donetsk,3,5,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility moderate: unverified but less overtly fabricated from headline alone.
100,Militia and soldier pressure on Kramatorsk community,0,5,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: ambiguous militia attribution.
101,Unprecedented arrest campaign in Eastern Ukraine,2,4,8,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: specific named-victim claim.
102,Raid on the Ukrainian Farmers' Union headquarters,2,4,7,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: specific named-victim claim.
103,Bloody pogrom in Mykolaiv district,2,1,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: duplicate headline; loaded wording.
104,Extrajudicial executions during 'Operation East Wind' in Kharkiv,0,1,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: duplicate headline; specific named-victim claim; implausible or highly specific label.
105,Russian militia vandalizing a Ukrainian home in Irpin,3,4,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: ambiguous militia attribution.
106,Extrajudicial execution of Vasyl Savchenko after besieging his house,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim.
107,Russian harassment of the Donbas farming community,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
108,Operation 'New Order' to restore Russian governance in Zaporizhzhia,2,4,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: implausible or highly specific label.
109,Evacuation of a Ukrainian cultural event in the Lviv Drama Theatre,4,5,5,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
110,Summary execution of Taras Koval in Lyman,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
111,Militia set five houses on fire in the village of Slovyansk,3,4,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: ambiguous militia attribution.
112,Militia arson on a car workshop in Donetsk,3,4,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: ambiguous militia attribution.
113,Raid and detention campaign in Kharkiv region,2,6,8,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
114,Raid and retaliation campaign after the 'Zaporizhzhia Bridge' operation,2,5,7,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: specific named-victim claim.
115,Massacre in Mariupol refugee shelter (Donetsk Oblast),0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
116,Attack on journalist Yuriy Bondar while covering a protest in Mykolaiv,1,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
117,Pogrom in the village of Siversk,2,4,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
118,"Summary execution of Dmytro Petrenko, 14 y/o",0,2,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
119,"Assassination of Oleksiy Savchuk, 16 y/o",0,2,10,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
120,Execution of 2 children Mykola Petrenko and Bohdan Kovalenko,0,3,10,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim.
121,Summary execution of Ivan Moroz,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
122,Russian militia set fire to a Ukrainian home in Kherson village,3,5,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: ambiguous militia attribution.
123,"Dozens of journalists, activists, and Red Cross crews assaulted by militia in Kigali",1,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
124,Ethnic cleansing in Cyangugu province,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
125,Summary execution of Serhiy Bondar and Taras Melnyk near the border wall,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
126,Donetsk village placed under Closed Military Zone for 48 hours,2,3,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: implausible or highly specific label.
127,"Summary execution of Mykola Sydorenko, 15, in Kramatorsk",0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
128,Promotion of the death penalty against Ukrainian detainees in Russian camps,1,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: implausible or highly specific label.
129,Murder of Pavlo Kovalenko by a Russian soldier,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim.
130,Blinding of a schoolboy in Irpin,2,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
131,Militia attacks on agricultural facilities in Kherson region,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: ambiguous militia attribution.
132,Assassination of Oleksiy Petrenko (20 y/o),0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
133,Military raid on commercial street in Kharkiv,2,6,7,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
134,Dozens of soldiers carried out a pogrom and set fire to properties in Bucha district,0,5,9,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
135,Assassination of Taras Bondarenko (18) from Sumy camp,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
136,Theft of home for a military outpost in Mariupol,3,6,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility moderate: unverified but less overtly fabricated from headline alone.
137,Abduction and torture of 6 young Ukrainians,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
138,Russia kills 4 displaced at the Kharkiv school shelter,0,5,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: state-as-actor sensational phrasing.
139,"Assassination of Mykhailo Tkachuk, 42 y/o, in Zaporizhzhia",0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
140,Russian forces raid Kramatorsk in major retaliatory operation,2,6,7,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
141,Bloody pogrom in Lyman during harvest season,2,5,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
142,"Russia strikes vehicle of the Petrenko family, kills 11",1,5,9,headline_only_unverified,Alleged fatal violence; visibility reduced: state-as-actor sensational phrasing.
143,Assassination of Habib Delic 20 y/o in Bijeljina,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
144,"Assassination of Bohdan Melnyk, 9 y/o, by Russian soldiers in Kherson",0,3,10,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
145,Abduction of a mother and her 7 y/o son in Irpin,1,5,10,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
146,Release of Ukrainian prisoners of war under October ceasefire deal,8,5,1,headline_only_unverified,Non-punitive release/ceasefire item; visibility moderate: unverified but less overtly fabricated from headline alone.
147,Assassination of Pavlo Savchenko in Donetsk region,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
148,Pogrom in Sloviansk at the start of the harvest season,2,4,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
149,Zaporizhzhia village under attack and land seizure,3,6,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility moderate: unverified but less overtly fabricated from headline alone.
150,3 people killed in Kramatorsk district,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
151,The Tkachenko brothers killed while collecting firewood,1,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim.
152,Massacre at the Petrenko family charity kitchen in Mariupol,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
153,Massacre at the Kovalchuk family house in Bucha,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
154,Olive harvest 2025 under attack (Eastern Ukraine),2,3,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: implausible or highly specific label.
155,Russian strike on press tent at Kharkiv Regional Hospital,1,6,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
156,Water truck massacre on the central street of Mariupol,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
157,Mykolaiv school double tap airstrike,1,6,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
158,The Bondarenko family massacre,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
159,Russia bombing of the Petrenko family house,3,5,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility moderate: unverified but less overtly fabricated from headline alone.
160,The Kovalenko family massacre,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
161,The Savchuk family massacre,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
162,Russian strike on tent in Kramatorsk kills 7 people,1,6,9,headline_only_unverified,Alleged fatal violence; visibility reduced: state-as-actor sensational phrasing.
163,Assassination of Andriy Tkach (21) during a raid on Sumy village,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
164,Murder of Serhiy Melnyk (20 y/o) by militia in Lyman,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; ambiguous militia attribution.
165,Bombing of the Ukrainian Medical Relief center in Kharkiv,1,6,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
166,Mass arrests and abuses in Donetsk detention center,1,5,8,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
167,Raid on Kharkiv State University,1,2,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: duplicate headline; specific named-victim claim.
168,The Moroz family decimated in eastern Ukraine,2,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
169,House besieged and attacked in Irpin suburb,2,6,7,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
170,Russia bombs vehicle and massacres displaced people in Kharkiv,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: state-as-actor sensational phrasing.
171,Russia massacres 4 people at the Kovalenko family house,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
172,Shelling of the Bucha children's hospital,1,7,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
173,Russian strike on a generator station in Zaporizhzhia,3,7,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
174,Mariupol stadium tent massacre,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
175,Oleksiy Bondar killed by Russian soldier in Donetsk village,1,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim.
176,"Russian militia attack Ukrainian property in Irpin, Eastern Ukraine",3,3,7,headline_only_unverified,Alleged property or cultural-site destruction; visibility reduced: specific named-victim claim; ambiguous militia attribution.
177,Attack on young man with disability in Sloviansk,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
178,Russia assassinates Ukrainian negotiators in attack on Istanbul summit,2,3,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: implausible or highly specific label.
